2022-06-27,2824183.0,2353584.96,739525,2247167.0,8180827.96
2022-06-26,3032459.0,2524794.88,824715,2275985.0,8676021.88
2022-06-25,3127677.0,2923920.0,725604,2269718.0,9062970.0
2022-06-24,3095953.35,2885204.92,925000,2310232.0,9231685.27
2022-06-23,2805658.0,2360663.92,704180,2051977.0,7940241.92
2022-06-22,2672947.0,2282011.0,742979,2003731.65,7717290.65
2022-06-21,2765236.0,2408063.96,762909,2023240.0,7971177.96
2022-06-20,3073901.0,2362439.0,783940,2049952.0,8288947.0
2022-06-19,3238215.8,2378980.0,793076,2142632.0,8569297.8
2022-06-18,3515289.0,2642607.0,882718,2549924.0,9609983.0
2022-06-17,3203946.0,2274204.0,734766,2566372.0,8798653.0
2022-06-16,2803869.0,2126117.0,684121,2166048.0,7803490.0
2022-06-15,3025194.0,2200996.7,698160,2046541.0,7985248.7
2022-06-14,2974863.32,2256856.6,743850,2154380.0,8145575.92
2022-06-13,2876342.2,2352949.56,763432,2037751.0,8052511.76
2022-06-12,3058940.2,2271315.0,667834,2097361.0,8116871.2
2022-06-11,3464523.0,2775364.5,824792,2320351.0,9417174.5
2022-06-10,4050724.3,3133379.95,820718,2816950.0,10880191.25
2022-06-09,2988744.2,2357844.36,674906,2483525.0,8612977.56
2022-06-08,3049427.0,2490214.0,738082,2269579.0,8761161.0
2022-06-07,3254886.12,2606319.48,835533,2369164.0,9370220.6
2022-06-06,3324762.12,2748126.48,704586,2366705.0,9471683.6
2022-06-05,2876126.0,2466869.9,707461,2069999.0,8405244.9
2022-06-04,3247959.0,2976892.0,871918,2414414.0,9752154.0
2022-06-03,3790148.0,3454415.15,916717,3087923.0,11391354.15
2022-06-02,3478459.0,2772195.0,804861,2470441.0,9665429.0
2022-06-01,3612577.0,2821038.0,831005,2387753.0,9772302.0
2022-05-31,3208886.0,2528297.0,778364,2124500.0,8752200.0
2022-05-30,2971818.6,2382577.0,786536,2224389.0,8481818.6
2022-05-29,2926000.0,2422097.9,742452,2149812.0,8381459.9
2022-05-28,3114401.0,2692644.2,761347,2298270.0,8993688.2
